rank	singular_value	error_estimate
213	1004.04	3.42689e-12
214	1001.09	3.27148e-12
215	1000.03	3.21117e-12
216	999.715	2.99914e-12
217	999.093	3.34114e-12
218	997.323	3.03467e-12
219	995.415	3.22393e-12
220	993.243	3.27386e-12
221	992.729	3.51539e-12
222	991.125	3.06616e-12
223	989.419	3.1541e-12
224	987.201	3.14393e-12
225	986.787	3.28494e-12
226	984.862	3.29134e-12
227	983.894	3.25379e-12
228	983.081	3.45288e-12
229	981.952	3.40301e-12
230	980.382	3.30592e-12
231	977.83	3.28214e-12
232	975.924	3.35632e-12
233	974.692	3.40137e-12
234	973.495	3.33298e-12
235	971.622	3.34881e-12
236	970.756	3.31642e-12
237	964.402	3.34238e-12
238	962.982	3.28339e-12
239	961.502	3.59209e-12
240	959.372	3.21292e-12
241	958.114	3.40438e-12
242	956.899	3.31502e-12
243	954.544	3.33823e-12
244	953.407	3.42679e-12
245	951.926	3.32886e-12
246	951.582	3.22655e-12
247	946.858	3.2851e-12
248	944.618	3.32336e-12
249	944.495	3.31474e-12
250	942.314	3.46417e-12
251	941.702	3.50412e-12
252	940.472	3.20504e-12
253	938.854	3.42304e-12
254	936.508	3.42418e-12
255	935.184	3.55994e-12
256	934.028	3.3943e-12
257	933.074	3.29907e-12
258	932.016	3.30845e-12
259	928.801	3.35336e-12
260	927.703	3.39581e-12
261	926.606	3.47276e-12
262	925.073	3.14776e-12
263	922.914	3.33561e-12
264	921.602	3.4525e-12
265	921.112	3.39354e-12
266	919.573	3.31185e-12
267	918.975	3.32735e-12
268	918.148	3.42927e-12
269	916.518	3.50132e-12
270	915.426	3.41402e-12
271	914.195	3.16646e-12
272	911.505	3.31805e-12
273	911.234	3.41481e-12
274	910.45	3.34418e-12
275	908.961	3.34283e-12
276	907.604	3.27144e-12
277	907.013	3.22067e-12
278	905.442	3.31611e-12
279	904.669	3.37834e-12
280	903.153	3.28904e-12
281	900.745	3.25099e-12
282	898.942	3.22923e-12
283	898.137	3.53134e-12
284	897.319	3.33399e-12
285	895.903	3.33062e-12
286	895.018	3.50699e-12
287	894.586	3.5356e-12
288	892.828	3.4378e-12
289	891.561	3.55485e-12
290	890.96	3.67388e-12
291	889.925	3.49771e-12
292	888.788	3.40658e-12
293	887.765	3.40113e-12
294	885.133	3.42971e-12
