rank	singular_value	error_estimate
1059	484.496	0.00509283
1060	484.293	0.0276804
1061	484.016	0.0750838
1062	483.858	0.0698905
1063	483.191	0.0327067
1064	483.031	0.0526298
1065	482.85	0.050196
1066	482.608	0.0350076
1067	482.193	0.038899
1068	482.097	0.0563296
1069	481.867	0.0406491
1070	481.842	0.0577833
1071	481.42	0.0369288
1072	481.293	0.0174887
1073	480.9	0.0429755
1074	480.671	0.0462938
1075	480.517	0.0567603
1076	480.234	0.0311137
1077	480.02	0.0683795
1078	479.872	0.0962696
1079	479.271	0.0568527
1080	478.993	0.0164242
1081	478.772	0.0320476
1082	478.56	0.0189026
1083	478.446	0.0534333
1084	478.158	0.0346358
1085	478.121	0.0233041
1086	477.925	0.0309165
1087	477.619	0.0186352
1088	477.321	0.0699259
1089	477.208	0.0420724
1090	477.16	0.0356645
1091	476.982	0.0204714
1092	476.688	0.100432
1093	476.504	0.0588077
1094	476.174	0.030746
1095	476.114	0.0672714
1096	475.932	0.0383345
1097	475.749	0.0125363
1098	475.497	0.0627877
1099	475.229	0.0646229
1100	475.013	0.0556359
1101	474.847	0.0317777
1102	474.477	0.0131493
1103	474.322	0.0847204
1104	474.051	0.0637457
1105	473.871	0.0285599
1106	473.796	0.0173637
1107	473.521	0.0672245
1108	473.244	0.0584633
1109	473.046	0.0273586
1110	472.914	0.0450021
1111	472.652	0.0256037
1112	472.002	0.102276
1113	471.756	0.0598871
1114	471.492	0.00789342
1115	471.389	0.0206117
1116	471.243	0.0257657
1117	471.131	0.0257132
1118	470.609	0.0956481
1119	470.337	0.0548146
1120	470.092	0.0738741
1121	469.97	0.07207
1122	469.53	0.0528391
1123	469.31	0.036825
1124	468.89	0.040146
1125	468.791	0.0427812
1126	468.578	0.0521878
1127	468.265	0.0292012
1128	467.926	0.023871
1129	467.697	0.0773403
1130	467.522	0.0785533
1131	467.302	0.0686364
1132	466.951	0.033101
1133	466.79	0.0526512
1134	466.316	0.0631951
1135	465.987	0.0329871
1136	465.678	0.0579071
1137	465.519	0.05746
1138	465.363	0.0381425
1139	465.093	0.0255729
1140	464.802	0.0390652
1141	464.536	0.0674489
1142	464.177	0.0680842
1143	463.964	0.0635949
1144	463.728	0.0408526
1145	463.457	0.0614475
1146	584.999	0.368032
1147	469.322	2.00906
1148	468.637	2.11305
1149	468.362	1.84383
1150	467.509	1.68814
1151	467.113	1.6096
1152	466.315	1.56693
1153	466.084	1.54378
1154	465.617	1.5251
1155	464.824	1.504
1156	464.571	1.49502
1157	464.197	1.48756
1158	463.681	1.48475
1159	463.566	1.4741
1160	462.886	1.47073
1161	462.718	1.46306
1162	462.536	1.46981
1163	462.326	1.46021
1164	462.164	1.45928
1165	462.049	1.44876
1166	461.882	1.45959
1167	461.591	1.44795
1168	461.36	1.45127
1169	461.264	1.45122
1170	461.223	1.44009
1171	460.992	1.4526
1172	460.843	1.44474
1173	460.791	1.44149
1174	460.515	1.43801
1175	460.293	1.44399
1176	460.033	1.4378
1177	459.848	1.43585
1178	459.759	1.43714
1179	459.695	1.43958
1180	459.484	1.43687
1181	459.363	1.43289
1182	459.233	1.43806
1183	458.947	1.43449
1184	458.81	1.4382
1185	458.535	1.43307
1186	458.417	1.43698
1187	457.952	1.43166
1188	457.885	1.43333
1189	457.672	1.43105
1190	457.569	1.42645
1191	457.449	1.43269
1192	457.327	1.42833
1193	457.008	1.43596
1194	456.997	1.42764
1195	456.897	1.4312
1196	456.646	1.43077
1197	456.308	1.4287
1198	456.179	1.43223
1199	455.98	1.42598
1200	455.73	1.42355
1201	455.705	1.43504
1202	455.297	1.42996
1203	455.25	1.42602
1204	455.052	1.42764
1205	454.799	1.42372
1206	454.745	1.43006
1207	454.589	1.42492
1208	454.37	1.42939
1209	454.215	1.43229
1210	453.586	1.42224
1211	453.332	1.42597
1212	453.253	1.42604
1213	452.71	1.42448
1214	452.571	1.42824
1215	452.475	1.42738
1216	452.197	1.42982
1217	452.008	1.42052
1218	451.88	1.42513
1219	451.463	1.42226
1220	451.224	1.42737
1221	450.973	1.42296
1222	450.941	1.42799
1223	450.662	1.42672
1224	450.385	1.41916
1225	450.278	1.42841
1226	450.167	1.4262
1227	449.61	1.42128
1228	449.106	1.4277
1229	449.069	1.42546
1230	448.98	1.42677
1231	448.82	1.42067
1232	448.561	1.42901
1233	448.377	1.4166
1234	448.097	1.4286
1235	448.013	1.42091
1236	447.949	1.42463
1237	447.442	1.42318
1238	447.303	1.42856
1239	447.096	1.4215
1240	447.048	1.42053
1241	446.869	1.42659
1242	446.774	1.4227
1243	446.586	1.42435
1244	446.473	1.42316
1245	446.147	1.41881
1246	445.955	1.4309
1247	445.835	1.42205
1248	445.749	1.42449
1249	445.496	1.41835
1250	445.418	1.42385
1251	445.213	1.42476
1252	445.048	1.42472
1253	444.948	1.4185
1254	444.809	1.42354
1255	444.712	1.42436
1256	444.424	1.42384
1257	444.364	1.42454
1258	444.13	1.42229
1259	443.991	1.42249
1260	443.748	1.42223
1261	443.677	1.42075
1262	443.517	1.4266
1263	443.366	1.41969
1264	443.306	1.42395
1265	443.156	1.42836
1266	442.816	1.41739
1267	442.701	1.42082
1268	442.583	1.42348
1269	442.37	1.42344
1270	442.14	1.42381
1271	441.674	1.42058
1272	441.487	1.42459
1273	441.432	1.42345
1274	441.268	1.41468
1275	441.194	1.42402
1276	441.102	1.42825
1277	440.854	1.41654
1278	440.81	1.42769
1279	440.65	1.42122
1280	440.374	1.42791
1281	440.12	1.41656
1282	439.971	1.42488
1283	439.787	1.41973
1284	439.724	1.42402
1285	439.399	1.42434
1286	438.963	1.42291
1287	438.93	1.41663
1288	438.872	1.42101
1289	438.725	1.42621
1290	438.668	1.4207
1291	438.402	1.42042
1292	438.286	1.42314
1293	437.98	1.42181
1294	437.796	1.42121
1295	437.747	1.42281
1296	437.477	1.42817
1297	437.417	1.42152
1298	436.989	1.42427
1299	436.862	1.42247
1300	436.685	1.41512
1301	436.525	1.42572
1302	436.381	1.42396
1303	436.063	1.42274
1304	435.948	1.42036
1305	435.754	1.42649
1306	435.578	1.41538
1307	435.104	1.4216
1308	435.043	1.41905
1309	434.827	1.42448
1310	434.795	1.42096
1311	434.603	1.42374
1312	434.13	1.42002
1313	434.041	1.42024
1314	433.608	1.41823
1315	433.367	1.42378
1316	433.233	1.42228
1317	432.974	1.4228
1318	432.617	1.42712
1319	432.355	1.41931
1320	432.161	1.42131
1321	432.082	1.41748
1322	431.905	1.42336
1323	431.774	1.42297
1324	431.631	1.42539
1325	431.406	1.42336
1326	431.251	1.4166
1327	430.912	1.42096
1328	430.865	1.42234
1329	430.811	1.41769
1330	430.693	1.42629
1331	430.606	1.42368
1332	430.362	1.42119
1333	430.305	1.41629
1334	429.958	1.42459
1335	429.737	1.41852
1336	429.482	1.41753
1337	429.311	1.42011
1338	429.161	1.42495
1339	429.095	1.42073
1340	428.842	1.42344
1341	428.699	1.42169
1342	428.468	1.42129
1343	428.338	1.41732
1344	427.836	1.42982
1345	427.575	1.42148
1346	427.508	1.41608
1347	427.317	1.42059
1348	426.997	1.42372
1349	426.882	1.41929
1350	426.609	1.42572
1351	426.39	1.41853
1352	426.168	1.42349
1353	426.115	1.42111
1354	425.967	1.42729
1355	425.463	1.42154
1356	425.369	1.4198
1357	425.117	1.42638
1358	425.068	1.4227
1359	424.882	1.4206
1360	424.864	1.41976
1361	424.362	1.42165
1362	424.329	1.41858
1363	424.205	1.42916
1364	424.069	1.42114
1365	423.985	1.42149
1366	423.735	1.43199
1367	423.557	1.4205
1368	423.454	1.41854
1369	423.146	1.42344
1370	422.79	1.42206
1371	422.749	1.42349
1372	422.629	1.42473
1373	422.273	1.42264
1374	422.111	1.41574
1375	422.027	1.42881
1376	421.717	1.42308
1377	421.651	1.42445
1378	421.436	1.42369
1379	421.362	1.41996
1380	421.029	1.42647
1381	420.908	1.4221
1382	420.758	1.42214
1383	420.561	1.4248
1384	420.457	1.42706
1385	420.283	1.42342
1386	420.011	1.42541
1387	419.579	1.42649
1388	419.448	1.42077
1389	419.292	1.41994
1390	419.238	1.42385
1391	418.982	1.43251
1392	418.646	1.4253
1393	418.607	1.42512
1394	418.225	1.42381
1395	417.798	1.43051
1396	417.678	1.41714
1397	417.446	1.42605
1398	417.302	1.42903
1399	417.112	1.41814
1400	416.687	1.42406
1401	416.597	1.43156
1402	416.465	1.42515
1403	416.047	1.42805
1404	416.009	1.42243
1405	415.684	1.42502
1406	415.66	1.42754
1407	415.042	1.42291
1408	414.718	1.42403
1409	414.63	1.42434
1410	414.255	1.43208
1411	414.101	1.42228
1412	413.89	1.42303
1413	413.695	1.42701
1414	413.305	1.42918
1415	461.353	0.857233
1416	461.262	2.28657
1417	461.2	2.27124
1418	460.825	1.7748
1419	460.444	1.58823
1420	459.777	1.58107
1421	459.622	1.5384
1422	459.482	1.51398
1423	459.362	1.50684
1424	458.75	1.49967
1425	458.126	1.48399
1426	457.949	1.4842
1427	457.672	1.47741
1428	457.414	1.46879
1429	457.184	1.47358
1430	457.008	1.477
1431	456.851	1.47262
1432	456.225	1.46489
1433	456.035	1.45814
1434	455.725	1.45092
1435	455.287	1.4513
1436	455.037	1.45862
1437	454.772	1.457
1438	454.743	1.44347
1439	454.321	1.44169
1440	453.725	1.44256
1441	453.326	1.44793
1442	452.571	1.44874
1443	452.475	1.44509
1444	451.915	1.43364
1445	451.775	1.4298
1446	451.246	1.44528
1447	450.964	1.44252
1448	450.663	1.43117
1449	450.385	1.43252
1450	450.248	1.43111
1451	449.104	1.43384
1452	449.063	1.44059
1453	448.979	1.43126
1454	448.534	1.4254
1455	448.153	1.43684
1456	448.051	1.43669
1457	447.969	1.43089
1458	447.421	1.42651
1459	447.209	1.42595
1460	447.071	1.4307
1461	446.819	1.44503
1462	446.729	1.42208
1463	446.548	1.42544
1464	445.967	1.43205
1465	445.941	1.43185
1466	445.758	1.42424
1467	445.502	1.4212
1468	445.325	1.4326
1469	445.159	1.43289
1470	445.043	1.42995
1471	444.82	1.41929
1472	444.723	1.43034
1473	444.42	1.43242
1474	444.151	1.42513
1475	443.991	1.41596
1476	443.677	1.4305
1477	443.637	1.43558
1478	443.489	1.42423
1479	443.313	1.41776
1480	443.172	1.43225
1481	442.789	1.43109
1482	442.584	1.41895
1483	442.405	1.42411
1484	442.211	1.42778
1485	441.524	1.4293
1486	441.434	1.42313
1487	441.265	1.42225
1488	441.163	1.43194
1489	440.989	1.42172
1490	440.83	1.41948
1491	440.629	1.43046
1492	440.185	1.43215
1493	440.113	1.41754
1494	439.745	1.42565
1495	439.458	1.42823
1496	439.209	1.42355
1497	438.937	1.41986
1498	438.92	1.43095
1499	438.872	1.4225
1500	438.724	1.41914
1501	438.346	1.42673
1502	438.056	1.42164
1503	437.81	1.42522
1504	437.769	1.42798
1505	437.46	1.42152
1506	437.178	1.4274
1507	436.877	1.42657
1508	436.683	1.42292
1509	436.521	1.42091
1510	436.027	1.42136
1511	435.909	1.43312
1512	435.592	1.42029
1513	435.461	1.4197
1514	435.042	1.43034
1515	434.827	1.42287
1516	434.795	1.41716
1517	434.547	1.42707
1518	434.089	1.43208
1519	433.606	1.41806
1520	433.247	1.42225
1521	433.06	1.43099
1522	432.367	1.41885
1523	432.18	1.42925
1524	432.156	1.42612
1525	431.904	1.42029
1526	431.757	1.43137
1527	431.538	1.41788
1528	431.339	1.42392
1529	430.913	1.4221
1530	430.866	1.42168
1531	430.812	1.42233
1532	430.693	1.42855
1533	430.57	1.42221
1534	430.305	1.42287
1535	429.96	1.42777
1536	429.654	1.41872
1537	429.472	1.42863
1538	429.287	1.41967
1539	429.096	1.42321
1540	428.842	1.4236
1541	428.7	1.42317
1542	428.397	1.42784
1543	427.852	1.42102
1544	427.565	1.42753
1545	427.381	1.41916
1546	427.087	1.42828
1547	426.934	1.41996
1548	426.609	1.42254
1549	426.328	1.43303
1550	426.128	1.42039
1551	426.018	1.42353
1552	425.455	1.41718
1553	425.369	1.4317
1554	425.093	1.42759
1555	424.895	1.42172
1556	424.872	1.42125
1557	424.339	1.43066
1558	424.29	1.41862
1559	424.205	1.43296
1560	424.036	1.4174
1561	423.949	1.4205
1562	423.557	1.43031
1563	423.446	1.42291
1564	423.129	1.42056
1565	422.749	1.4293
1566	422.71	1.41929
1567	422.269	1.43005
1568	422.033	1.42408
1569	421.924	1.41961
1570	421.711	1.42721
1571	421.568	1.42581
1572	421.303	1.42595
1573	421.159	1.42152
1574	421	1.41989
1575	420.763	1.44247
1576	420.498	1.41097
1577	420.232	1.42694
1578	420.029	1.42923
1579	419.646	1.42516
1580	419.41	1.42393
1581	419.31	1.42674
1582	418.995	1.42239
1583	418.644	1.43174
1584	418.496	1.41898
1585	418.096	1.42818
1586	417.818	1.42189
1587	417.49	1.43063
1588	457.672	0.939974
1589	457.008	2.30537
1590	456.295	1.98495
1591	455.682	1.61922
1592	455.035	1.71107
1593	454.745	1.49704
1594	453.34	1.58542
1595	452.539	1.46966
1596	452.141	1.54979
1597	451.302	1.46642
1598	450.792	1.50758
1599	450.386	1.46514
1600	449.172	1.4889
1601	449.082	1.46698
1602	448.978	1.46671
1603	448.123	1.45834
1604	448.021	1.46166
1605	447.404	1.46651
1606	447.095	1.44336
1607	447.006	1.45744
1608	446.764	1.45241
1609	446.544	1.44833
1610	445.954	1.44824
1611	445.764	1.44525
1612	445.51	1.43955
1613	445.25	1.44266
1614	445.048	1.4428
1615	444.848	1.44532
1616	444.747	1.44033
1617	444.42	1.44076
1618	444.05	1.43384
1619	443.991	1.43986
1620	443.677	1.44049
1621	443.496	1.43527
1622	443.311	1.44281
1623	442.863	1.43307
1624	442.59	1.43111
1625	442.548	1.43744
1626	442.123	1.43143
1627	441.448	1.43803
1628	441.276	1.42849
1629	441.198	1.43762
1630	441.036	1.43121
1631	440.829	1.42983
1632	440.467	1.43647
1633	440.119	1.42583
1634	439.746	1.43273
1635	439.412	1.43248
1636	438.937	1.42544
1637	438.919	1.43373
1638	438.871	1.42988
1639	438.723	1.42551
1640	438.317	1.43225
1641	437.892	1.43044
1642	437.785	1.43513
1643	437.473	1.42307
1644	437.002	1.42748
1645	436.733	1.42742
1646	436.55	1.43376
1647	436.173	1.42545
1648	435.938	1.42584
1649	435.586	1.43053
1650	435.047	1.43442
1651	434.827	1.42717
1652	434.795	1.42222
1653	434.33	1.43255
1654	433.612	1.42791
1655	433.278	1.42546
1656	433.134	1.43374
1657	432.346	1.42678
1658	432.16	1.42254
1659	431.904	1.42359
1660	431.75	1.43607
1661	431.454	1.42399
1662	431.182	1.41839
1663	430.901	1.43524
1664	430.861	1.4244
1665	430.81	1.41726
1666	430.66	1.4263
1667	430.305	1.43669
1668	429.96	1.42198
1669	429.486	1.42102
1670	429.306	1.4207
1671	429.097	1.43138
1672	428.842	1.43403
1673	428.7	1.42247
1674	428.343	1.41582
1675	427.574	1.42843
1676	427.422	1.43545
1677	427.025	1.42995
1678	426.774	1.41209
1679	426.589	1.41153
1680	426.145	1.43373
1681	426.08	1.44325
1682	425.408	1.43815
1683	425.37	1.42132
1684	425.08	1.39826
1685	424.877	1.40922
1686	424.624	1.42761
1687	424.333	1.45241
1688	424.206	1.44787
1689	424.042	1.43439
1690	423.933	1.4128
1691	423.556	1.38493
1692	423.323	1.3863
1693	422.933	1.38901
1694	422.745	1.40102
1695	422.356	1.41787
1696	422.174	1.4204
1697	422.024	1.43824
1698	421.764	1.4381
1699	421.469	1.43701
1700	421.207	1.44588
1701	421.001	1.44312
1702	420.809	1.43404
1703	420.428	1.42916
1704	420.143	1.43778
1705	420.004	1.44523
1706	419.527	1.44055
1707	419.273	1.43569
1708	419.034	1.43655
1709	418.971	1.44242
1710	418.627	1.44322
1711	418.206	1.43141
1712	417.898	1.4334
1713	417.386	1.43799
1714	417.276	1.4305
1715	416.939	1.43378
